experiment,file,file_path,network,model_type,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,recall@1,recall@10,recall@100,recall@1000,ranking_score,ranking_score_dcg,perc_partially_accurate_predictions,recall@1_std,recall@10_std,recall@100_std,recall@1000_std,ranking_score_std,ranking_score_dcg_std,perc_partially_accurate_predictions_std,total_samples,avg_topk
og_pdgrapher_data,pdgrapher_1105_2159.json,reports/og_pdgrapher_data/pdgrapher_1105_2159.json,pdgrapher_grn,pdgrapher,0.015,2573.35,0.24,0.483,0.048,-0.899,5.871,0.033,0.06,0.079,0.099,0.0066,0.0167,0.0583,0.269,0.743,0.0851,0.66,0.081,0.1281,0.2344,0.4434,0.2253,0.0915,8.1,4851,7961.8683
og_pdgrapher_data,pdgrapher_1105_2345.json,reports/og_pdgrapher_data/pdgrapher_1105_2345.json,pdgrapher_grn,pdgrapher,0.009,2452.165,0.229,0.483,-0.166,-2.261,5.371,0.022,0.043,0.055,0.074,0.0052,0.0245,0.0713,0.31,0.7616,0.0903,0.52,0.0716,0.1547,0.2574,0.4625,0.2161,0.0931,7.16,4851,8161.3292
og_pdgrapher_data_fr,pdgrapher_1105_2206.json,reports/og_pdgrapher_data_fr/pdgrapher_1105_2206.json,random_10716_300000,pdgrapher,0.015,1908.868,0.178,0.722,-0.161,-2.469,6.127,0.037,0.063,0.079,0.101,0.0041,0.0132,0.0522,0.3119,0.8058,0.0897,0.41,0.0641,0.1141,0.2223,0.4633,0.1683,0.0776,6.41,4851,8634.5918
og_pdgrapher_data_fr,pdgrapher_1105_2342.json,reports/og_pdgrapher_data_fr/pdgrapher_1105_2342.json,random_10716_300000,pdgrapher,0.013,2610.458,0.244,0.308,-0.263,-3.499,4.988,0.028,0.053,0.068,0.089,0.0049,0.0148,0.0557,0.2874,0.7368,0.083,0.49,0.0702,0.1209,0.2293,0.4525,0.2322,0.0837,7.02,4851,7895.7201
