filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0917_1050,advanced_random,dorothea_2000_sparse,,,,,0.0,912.857,0.0,0.001,0.0,0.008,0.0,0.0,
baseline_jordan_0917_1050,jordan,dorothea_2000_sparse,,,,,0.0,1072.107,0.0,0.001,0.0,1.0,0.0,0.0,
baseline_overlap_0917_1050,overlap,dorothea_2000_sparse,,,,,0.0,1012.393,0.001,0.001,0.0,0.999,0.0,0.0,
baseline_random_0917_1050,random,dorothea_2000_sparse,,,,,0.0,785.018,0.001,0.001,0.0,0.001,0.0,0.0,
baseline_smallestSuperset_0917_1050,smallestSuperset,dorothea_2000_sparse,,,,,0.0,1024.518,0.0,0.001,0.0,1.0,0.0,0.0,
gat_0917_1111,gat,dorothea_2000_sparse,2000.0,271.0,1.0,0.14,0.0,864.714,0.004,0.004,0.0,0.012,0.0,0.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 897, 'total_samples': 56, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.005, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 1693, 'total_samples': 56, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.002, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 1119, 'total_samples': 56, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}}"
