filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_smallestSuperset_1117_1434,smallestSuperset,dorothea_500_1000,,,,,0.014,244.126,0.488,0.012,0.002,0.0,1.0,0.03,0.06,0.112,0.187,,,
baseline_smallestSuperset_1117_1547,smallestSuperset,dorothea_500_1000,,,,,0.014,244.126,0.488,0.012,0.002,0.0,1.0,0.03,0.06,0.112,0.187,,,
baseline_smallestSuperset_1117_2329,smallestSuperset,dorothea_500_1000,,,,,0.014,244.126,0.488,0.012,0.002,0.0,1.0,0.03,0.06,0.112,0.187,,,
baseline_smallestSuperset_1118_0904,smallestSuperset,dorothea_500_1000,,,,,0.014,244.126,0.488,0.012,0.002,0.0,1.0,0.03,0.06,0.112,0.187,,,
baseline_smallestSuperset_1118_1004,smallestSuperset,dorothea_500_1000,,,,,0.014,244.126,0.488,0.012,0.002,0.0,1.0,0.03,0.06,0.112,0.187,,,
pdgrapher_1117_1319,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.012,128.787,0.258,0.325,-0.176,-2.391,3.706,0.048,0.129,0.215,0.358,"{'recall@1': 0.0041, 'recall@10': 0.0447, 'recall@100': 0.3631, 'recall@1000': 1.0, 'ranking_score': 0.7157, 'ranking_score_dcg': 0.1239, 'perc_partially_accurate_predictions': 0.41, 'recall@1_std': 0.0636, 'recall@10_std': 0.2065, 'recall@100_std': 0.4809, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1746, 'ranking_score_dcg_std': 0.0937, 'perc_partially_accurate_predictions_std': 6.36, 'total_samples': 2217, 'avg_topk': 357.8345}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.657, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.207, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 70.429, 'avg_prob_when_true': 0.425, 'in_top20_when_true': 1, 'in_top40_when_true': 3, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 12, 'correct_predictions': 0, 'avg_prediction_prob': 0.586, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 130.667, 'avg_prob_when_true': 0.395, 'in_top20_when_true': 1, 'in_top40_when_true': 2, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 20, 'correct_predictions': 1, 'avg_prediction_prob': 0.561, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 60.857, 'avg_prob_when_true': 1.09, 'in_top20_when_true': 3, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.143, 'precision': 0.05, 'recall': 0.143, 'f1_score': 0.074}}"
pdgrapher_1117_1443,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.012,133.686,0.267,0.199,-0.063,-1.141,3.701,0.045,0.13,0.215,0.347,"{'recall@1': 0.0041, 'recall@10': 0.0397, 'recall@100': 0.3406, 'recall@1000': 1.0, 'ranking_score': 0.702, 'ranking_score_dcg': 0.1188, 'perc_partially_accurate_predictions': 0.41, 'recall@1_std': 0.0636, 'recall@10_std': 0.1952, 'recall@100_std': 0.4739, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1785, 'ranking_score_dcg_std': 0.0895, 'perc_partially_accurate_predictions_std': 6.36, 'total_samples': 2217, 'avg_topk': 351.0086}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.292, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 6, 'correct_predictions': 0, 'avg_prediction_prob': 0.06, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 81.857, 'avg_prob_when_true': 0.47, 'in_top20_when_true': 3, 'in_top40_when_true': 5, 'in_top80_when_true': 6, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.121, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 191.0, 'avg_prob_when_true': 0.19, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.126, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 135.714, 'avg_prob_when_true': 0.135, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1118_0025,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.006,134.089,0.268,0.249,-1.122,-5.264,2.718,0.029,0.099,0.179,0.326,"{'recall@1': 0.0018, 'recall@10': 0.0352, 'recall@100': 0.3509, 'recall@1000': 1.0, 'ranking_score': 0.7219, 'ranking_score_dcg': 0.1225, 'perc_partially_accurate_predictions': 0.18, 'recall@1_std': 0.0424, 'recall@10_std': 0.1842, 'recall@100_std': 0.4773, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1635, 'ranking_score_dcg_std': 0.0832, 'perc_partially_accurate_predictions_std': 4.24, 'total_samples': 2217, 'avg_topk': 360.9269}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.784, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 8, 'correct_predictions': 0, 'avg_prediction_prob': 0.207, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 87.0, 'avg_prob_when_true': 0.316, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.167, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 169.167, 'avg_prob_when_true': 0.172, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 21, 'correct_predictions': 0, 'avg_prediction_prob': 0.138, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 134.571, 'avg_prob_when_true': 0.227, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1118_0945,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.011,127.784,0.256,0.21,-0.087,-1.422,2.594,0.046,0.133,0.218,0.364,"{'recall@1': 0.0045, 'recall@10': 0.0361, 'recall@100': 0.3514, 'recall@1000': 1.0, 'ranking_score': 0.7161, 'ranking_score_dcg': 0.1212, 'perc_partially_accurate_predictions': 0.45, 'recall@1_std': 0.067, 'recall@10_std': 0.1865, 'recall@100_std': 0.4774, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1687, 'ranking_score_dcg_std': 0.0882, 'perc_partially_accurate_predictions_std': 6.7, 'total_samples': 2217, 'avg_topk': 358.0379}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.3, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 37, 'correct_predictions': 2, 'avg_prediction_prob': 0.211, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 47.143, 'avg_prob_when_true': 0.699, 'in_top20_when_true': 5, 'in_top40_when_true': 6, 'in_top80_when_true': 6, 'accuracy_when_true': 0.286, 'precision': 0.054, 'recall': 0.286, 'f1_score': 0.091}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.206, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 114.333, 'avg_prob_when_true': 0.265, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.318, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 36.143, 'avg_prob_when_true': 0.42, 'in_top20_when_true': 6, 'in_top40_when_true': 6, 'in_top80_when_true': 6, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1118_1125,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.012,125.387,0.251,0.329,-0.738,-3.863,3.462,0.037,0.111,0.204,0.371,"{'recall@1': 0.0027, 'recall@10': 0.0302, 'recall@100': 0.3338, 'recall@1000': 1.0, 'ranking_score': 0.7127, 'ranking_score_dcg': 0.1176, 'perc_partially_accurate_predictions': 0.27, 'recall@1_std': 0.052, 'recall@10_std': 0.1712, 'recall@100_std': 0.4716, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1612, 'ranking_score_dcg_std': 0.0786, 'perc_partially_accurate_predictions_std': 5.2, 'total_samples': 2217, 'avg_topk': 356.3636}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.284, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 55, 'correct_predictions': 3, 'avg_prediction_prob': 0.517, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 52.143, 'avg_prob_when_true': 1.187, 'in_top20_when_true': 5, 'in_top40_when_true': 5, 'in_top80_when_true': 6, 'accuracy_when_true': 0.429, 'precision': 0.055, 'recall': 0.429, 'f1_score': 0.097}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.273, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 116.667, 'avg_prob_when_true': 0.437, 'in_top20_when_true': 1, 'in_top40_when_true': 2, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.444, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 95.286, 'avg_prob_when_true': 0.434, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
