experiment,file,file_path,network,model_type,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,recall@1,recall@10,recall@100,recall@1000,ranking_score,ranking_score_dcg,perc_partially_accurate_predictions,recall@1_std,recall@10_std,recall@100_std,recall@1000_std,ranking_score_std,ranking_score_dcg_std,perc_partially_accurate_predictions_std,total_samples,avg_topk
exp_small_graph,pdgrapher_1010_1513.json,reports/exp_small_graph/pdgrapher_1010_1513.json,barabasi_64,pdgrapher,0.038,28.28,-1.253,-1.502,-3.212,5.01,0.141,0.399,0.677,1.0,0.0117,0.1804,1.0,1.0,0.514,0.1455,1.17,0.1074,0.3845,0.0,0.0,0.2929,0.1566,10.74,1114,32.895
exp_small_graph,pdgrapher_1010_1531.json,reports/exp_small_graph/pdgrapher_1010_1531.json,barabasi_64,pdgrapher,0.054,29.366,-1.997,-2.306,-16.557,7.767,0.127,0.372,0.648,1.0,0.0108,0.1634,1.0,1.0,0.515,0.1407,1.08,0.1032,0.3697,0.0,0.0,0.2864,0.1468,10.32,1114,32.9632
exp_small_graph,pdgrapher_1010_1534.json,reports/exp_small_graph/pdgrapher_1010_1534.json,barabasi_64,pdgrapher,0.045,30.376,-2.034,-2.277,-22.142,5.926,0.123,0.355,0.636,1.0,0.0135,0.1526,1.0,1.0,0.503,0.1387,1.35,0.1153,0.3596,0.0,0.0,0.2866,0.1537,11.53,1114,32.1894
exp_small_graph_fr,pdgrapher_1010_1531.json,reports/exp_small_graph_fr/pdgrapher_1010_1531.json,barabasi_64,pdgrapher,0.05,28.961,-0.835,-0.997,-7.307,4.032,0.137,0.383,0.642,1.0,0.0126,0.1454,1.0,1.0,0.4983,0.1393,1.26,0.1114,0.3525,0.0,0.0,0.2881,0.1575,11.14,1114,31.8914
exp_small_graph_fr,pdgrapher_1013_1240.json,reports/exp_small_graph_fr/pdgrapher_1013_1240.json,barabasi_64,pdgrapher,0.147,23.922,-0.472,-1.223,-4.767,7.241,0.268,0.487,0.725,1.0,0.0242,0.1759,1.0,1.0,0.5238,0.1534,2.42,0.1538,0.3808,0.0,0.0,0.2893,0.1768,15.38,1114,33.5215
exp_small_graph_fr,pdgrapher_1013_1444.json,reports/exp_small_graph_fr/pdgrapher_1013_1444.json,barabasi_64,pdgrapher,0.15,23.128,0.191,-0.801,-3.266,19.117,0.266,0.513,0.739,1.0,0.0153,0.1679,1.0,1.0,0.5118,0.1446,1.53,0.1226,0.3737,0.0,0.0,0.2905,0.1603,12.26,1114,32.754
