experiment,file,file_path,network,model_type,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,recall@1,recall@10,recall@100,recall@1000,ranking_score,ranking_score_dcg,perc_partially_accurate_predictions,recall@1_std,recall@10_std,recall@100_std,recall@1000_std,ranking_score_std,ranking_score_dcg_std,perc_partially_accurate_predictions_std,total_samples,avg_topk
exp_100_1000_si_fr_rd,pdgrapher_1016_1721.json,reports/exp_100_1000_si_fr_rd/pdgrapher_1016_1721.json,dorothea_100_1000,pdgrapher,0.09,20.582,0.884,-0.119,-2.023,3.44,0.255,0.665,0.825,0.958,0.005,0.0725,1.0,1.0,0.5035,0.1147,0.5,0.0705,0.2593,0.0,0.0,0.2774,0.1137,7.05,400,50.3475
exp_100_1000_si_rd,pdgrapher_1016_1721.json,reports/exp_100_1000_si_rd/pdgrapher_1016_1721.json,dorothea_100_1000,pdgrapher,0.055,15.692,1.669,-0.351,-7.618,4.855,0.27,0.75,0.892,0.988,0.0125,0.1,1.0,1.0,0.528,0.1324,1.25,0.1111,0.3,0.0,0.0,0.2841,0.1465,11.11,400,52.8
exp_100_1000_si_sl_rd,pdgrapher_1016_1718.json,reports/exp_100_1000_si_sl_rd/pdgrapher_1016_1718.json,dorothea_100_1000,pdgrapher,0.062,35.81,0.174,-0.264,-3.124,2.077,0.165,0.44,0.608,0.892,0.0025,0.1,1.0,1.0,0.5094,0.1226,0.25,0.0499,0.3,0.0,0.0,0.2928,0.1238,4.99,400,50.9425
exp_100_150_rcp_rd,pdgrapher_1016_1721.json,reports/exp_100_150_rcp_rd/pdgrapher_1016_1721.json,dorothea_100_150,pdgrapher,0.028,45.028,-0.02,-0.059,-0.483,3.151,0.075,0.248,0.488,0.831,0.0118,0.1142,1.0,1.0,0.5242,0.1346,1.18,0.108,0.318,0.0,0.0,0.2895,0.1507,10.8,254,52.4173
exp_100_150_rcp_sl_rd,pdgrapher_1016_1721.json,reports/exp_100_150_rcp_sl_rd/pdgrapher_1016_1721.json,dorothea_100_150,pdgrapher,0.012,35.197,-0.038,-0.229,-1.54,0.771,0.067,0.252,0.602,0.969,0.0079,0.1378,1.0,1.0,0.6458,0.1612,0.79,0.0884,0.3447,0.0,0.0,0.2243,0.1291,8.84,254,64.5827
exp_100_150_si_fr_rd,pdgrapher_1016_1719.json,reports/exp_100_150_si_fr_rd/pdgrapher_1016_1719.json,dorothea_100_150,pdgrapher,0.106,24.47,0.049,-1.363,-4.174,4.121,0.309,0.553,0.747,0.949,0.0,0.129,1.0,1.0,0.5453,0.1331,0.0,0.0,0.3352,0.0,0.0,0.2919,0.1178,0.0,217,54.5346
exp_100_150_si_rd,pdgrapher_1016_1718.json,reports/exp_100_150_si_rd/pdgrapher_1016_1718.json,dorothea_100_150,pdgrapher,0.0,41.641,0.336,0.069,-4.321,2.061,0.111,0.226,0.502,0.912,0.0369,0.1152,1.0,1.0,0.5182,0.1442,3.69,0.1884,0.3193,0.0,0.0,0.2883,0.1937,18.84,217,51.8157
exp_100_150_si_sl_rd,pdgrapher_1016_1717.json,reports/exp_100_150_si_sl_rd/pdgrapher_1016_1717.json,dorothea_100_150,pdgrapher,0.106,30.59,0.709,-0.094,-5.037,3.91,0.313,0.493,0.673,0.926,0.0046,0.1797,1.0,1.0,0.5921,0.1503,0.46,0.0677,0.384,0.0,0.0,0.2776,0.1295,6.77,217,59.2074
