experiment,file,file_path,network,model_type,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,recall@1,recall@10,recall@100,recall@1000,ranking_score,ranking_score_dcg,perc_partially_accurate_predictions,recall@1_std,recall@10_std,recall@100_std,recall@1000_std,ranking_score_std,ranking_score_dcg_std,perc_partially_accurate_predictions_std,total_samples,avg_topk
exp2_r66,pdgrapher_1118_1128.json,reports/exp2_r66/pdgrapher_1118_1128.json,dorothea_500_1000,pdgrapher,0.011,125.963,0.252,0.245,-0.164,-1.711,3.081,0.04,0.123,0.2,0.352,0.0031,0.0405,0.3571,1.0,0.7198,0.1227,0.31,0.0554,0.197,0.4791,0.0,0.1673,0.0865,5.54,2274,359.8777
exp2_r66,pdgrapher_1118_1234.json,reports/exp2_r66/pdgrapher_1118_1234.json,dorothea_500_1000,pdgrapher,0.01,128.729,0.257,0.457,-0.043,-2.384,1.789,0.03,0.104,0.188,0.334,0.0026,0.0339,0.3602,1.0,0.7146,0.12,0.26,0.0513,0.1809,0.48,0.0,0.1711,0.0824,5.13,2274,357.3069
exp2_sl,pdgrapher_1117_1423.json,reports/exp2_sl/pdgrapher_1117_1423.json,dorothea_500_1000,pdgrapher,0.008,132.58,0.265,0.203,-0.088,-1.455,2.594,0.03,0.094,0.18,0.338,0.0035,0.0356,0.3267,1.0,0.7036,0.1188,0.35,0.0592,0.1853,0.469,0.0,0.1755,0.0889,5.92,2274,351.8228
exp2_sl,pdgrapher_1118_0026.json,reports/exp2_sl/pdgrapher_1118_0026.json,dorothea_500_1000,pdgrapher,0.005,133.595,0.267,0.198,-0.167,-1.69,1.923,0.026,0.091,0.175,0.332,0.0035,0.0317,0.3412,1.0,0.7093,0.1188,0.35,0.0592,0.1751,0.4741,0.0,0.171,0.085,5.92,2274,354.6583
exp2_sl,pdgrapher_1118_0950.json,reports/exp2_sl/pdgrapher_1118_0950.json,dorothea_500_1000,pdgrapher,0.007,135.526,0.271,0.216,-0.081,-1.619,2.747,0.029,0.098,0.174,0.319,0.0053,0.0361,0.3593,1.0,0.7115,0.1217,0.53,0.0725,0.1864,0.4798,0.0,0.175,0.094,7.25,2274,355.7722
exp2_sl,pdgrapher_1118_1129.json,reports/exp2_sl/pdgrapher_1118_1129.json,dorothea_500_1000,pdgrapher,0.008,128.205,0.256,0.301,-0.08,-1.92,1.616,0.027,0.104,0.189,0.339,0.004,0.0387,0.3474,1.0,0.7143,0.1222,0.4,0.0628,0.1929,0.4761,0.0,0.1682,0.0922,6.28,2274,357.1658
exp2_sl,pdgrapher_1118_1235.json,reports/exp2_sl/pdgrapher_1118_1235.json,dorothea_500_1000,pdgrapher,0.006,132.128,0.264,0.162,-0.238,-1.696,1.91,0.027,0.093,0.176,0.335,0.0031,0.033,0.3395,1.0,0.7129,0.12,0.31,0.0554,0.1786,0.4735,0.0,0.1686,0.0844,5.54,2274,356.4622
exp3_500_1000,pdgrapher_1117_1419.json,reports/exp3_500_1000/pdgrapher_1117_1419.json,dorothea_500_1000,pdgrapher,0.014,119.086,0.238,0.289,-0.173,-2.009,2.967,0.048,0.145,0.244,0.391,0.0018,0.033,0.361,1.0,0.7187,0.1207,0.18,0.0419,0.1786,0.4803,0.0,0.1688,0.0796,4.19,2274,359.3307
exp3_500_1000,pdgrapher_1118_0026.json,reports/exp3_500_1000/pdgrapher_1118_0026.json,dorothea_500_1000,pdgrapher,0.018,120.507,0.241,0.315,-0.111,-1.669,3.72,0.059,0.166,0.257,0.395,0.0022,0.0312,0.332,1.0,0.7089,0.1174,0.22,0.0468,0.1739,0.4709,0.0,0.1664,0.0793,4.68,2274,354.4336
exp3_500_1000,pdgrapher_1118_0947.json,reports/exp3_500_1000/pdgrapher_1118_0947.json,dorothea_500_1000,pdgrapher,0.013,118.782,0.238,0.319,-0.072,-1.598,2.805,0.048,0.145,0.243,0.414,0.0018,0.0277,0.3382,1.0,0.703,0.1157,0.18,0.0419,0.1641,0.4731,0.0,0.1759,0.0757,4.19,2274,351.5158
exp3_500_1000,pdgrapher_1118_1125.json,reports/exp3_500_1000/pdgrapher_1118_1125.json,dorothea_500_1000,pdgrapher,0.017,117.896,0.236,0.457,-0.101,-1.492,3.926,0.058,0.168,0.264,0.405,0.004,0.0299,0.3452,1.0,0.7074,0.1183,0.4,0.0628,0.1703,0.4754,0.0,0.1713,0.0865,6.28,2274,353.7067
exp3_500_1000,pdgrapher_1118_1233.json,reports/exp3_500_1000/pdgrapher_1118_1233.json,dorothea_500_1000,pdgrapher,0.018,118.943,0.238,0.361,-0.121,-1.878,3.003,0.056,0.152,0.244,0.397,0.0031,0.0321,0.3237,1.0,0.7041,0.1167,0.31,0.0554,0.1763,0.4679,0.0,0.1705,0.0818,5.54,2274,352.0695
exp3_500_550,pdgrapher_1117_1346.json,reports/exp3_500_550/pdgrapher_1117_1346.json,dorothea_500_550,pdgrapher,0.02,89.67,0.179,0.573,-0.87,-5.224,2.977,0.07,0.203,0.337,0.533,0.0031,0.0405,0.4077,1.0,0.7364,0.1275,0.31,0.0559,0.197,0.4914,0.0,0.1673,0.0883,5.59,3189,368.19
exp3_500_550,pdgrapher_1117_1428.json,reports/exp3_500_550/pdgrapher_1117_1428.json,dorothea_500_550,pdgrapher,0.019,77.304,0.155,0.711,-0.208,-3.625,2.907,0.114,0.281,0.424,0.625,0.0034,0.0463,0.3793,1.0,0.7113,0.1246,0.34,0.0579,0.21,0.4852,0.0,0.2045,0.0921,5.79,1189,355.6644
exp3_500_550,pdgrapher_1118_0030.json,reports/exp3_500_550/pdgrapher_1118_0030.json,dorothea_500_550,pdgrapher,0.024,81.809,0.164,0.799,-0.198,-2.48,4.122,0.117,0.301,0.444,0.612,0.0034,0.0429,0.3877,1.0,0.7282,0.1258,0.34,0.0579,0.2026,0.4872,0.0,0.1743,0.0885,5.79,1189,364.1051
exp3_500_550,pdgrapher_1118_0952.json,reports/exp3_500_550/pdgrapher_1118_0952.json,dorothea_500_550,pdgrapher,0.029,93.632,0.187,0.218,-0.107,-1.268,1.835,0.106,0.241,0.371,0.564,0.0034,0.0429,0.3911,1.0,0.714,0.125,0.34,0.0579,0.2026,0.488,0.0,0.2046,0.0927,5.79,1189,356.9899
exp3_500_550,pdgrapher_1118_1131.json,reports/exp3_500_550/pdgrapher_1118_1131.json,dorothea_500_550,pdgrapher,0.022,75.525,0.151,0.752,-0.477,-2.972,3.052,0.094,0.275,0.427,0.637,0.0025,0.0336,0.3919,1.0,0.734,0.1256,0.25,0.0502,0.1803,0.4882,0.0,0.1679,0.0842,5.02,1189,366.9958
exp4_100_200,pdgrapher_1117_1320.json,reports/exp4_100_200/pdgrapher_1117_1320.json,dorothea_100_200,pdgrapher,0.021,32.408,0.324,0.185,-0.396,-3.462,0.866,0.085,0.342,0.615,0.997,0.0068,0.1014,1.0,1.0,0.6283,0.1498,0.68,0.0825,0.3018,0.0,0.0,0.2069,0.1197,8.25,730,62.8301
exp4_100_200,pdgrapher_1117_1435.json,reports/exp4_100_200/pdgrapher_1117_1435.json,dorothea_100_200,pdgrapher,0.023,31.893,0.319,0.116,-0.302,-2.332,1.159,0.09,0.356,0.63,0.996,0.0137,0.1397,1.0,1.0,0.6309,0.1613,1.37,0.1162,0.3467,0.0,0.0,0.2227,0.1469,11.62,730,63.0904
exp4_100_200,pdgrapher_1118_0030.json,reports/exp4_100_200/pdgrapher_1118_0030.json,dorothea_100_200,pdgrapher,0.023,32.284,0.323,0.307,-0.592,-4.53,1.947,0.096,0.323,0.632,1.0,0.0137,0.1384,1.0,1.0,0.6447,0.1644,1.37,0.1162,0.3453,0.0,0.0,0.2076,0.1456,11.62,730,64.4712
exp4_100_200,pdgrapher_1118_0951.json,reports/exp4_100_200/pdgrapher_1118_0951.json,dorothea_100_200,pdgrapher,0.012,34.693,0.347,0.134,-0.048,-2.322,0.804,0.074,0.292,0.579,0.988,0.026,0.1521,1.0,1.0,0.6376,0.1729,2.6,0.1592,0.3591,0.0,0.0,0.2269,0.1737,15.92,730,63.7616
exp4_100_200,pdgrapher_1118_1130.json,reports/exp4_100_200/pdgrapher_1118_1130.json,dorothea_100_200,pdgrapher,0.029,32.977,0.33,0.049,-0.133,-1.259,1.971,0.112,0.351,0.608,0.982,0.011,0.1548,1.0,1.0,0.6292,0.1614,1.1,0.1041,0.3617,0.0,0.0,0.2363,0.1441,10.41,730,62.9205
exp4_500_1000,pdgrapher_1117_1419.json,reports/exp4_500_1000/pdgrapher_1117_1419.json,dorothea_500_1000,pdgrapher,0.014,119.086,0.238,0.289,-0.173,-2.009,2.967,0.048,0.145,0.244,0.391,0.0018,0.033,0.361,1.0,0.7187,0.1207,0.18,0.0419,0.1786,0.4803,0.0,0.1688,0.0796,4.19,2274,359.3307
exp4_500_1000,pdgrapher_1118_0026.json,reports/exp4_500_1000/pdgrapher_1118_0026.json,dorothea_500_1000,pdgrapher,0.018,120.507,0.241,0.315,-0.111,-1.669,3.72,0.059,0.166,0.257,0.395,0.0022,0.0312,0.332,1.0,0.7089,0.1174,0.22,0.0468,0.1739,0.4709,0.0,0.1664,0.0793,4.68,2274,354.4336
exp4_500_1000,pdgrapher_1118_0947.json,reports/exp4_500_1000/pdgrapher_1118_0947.json,dorothea_500_1000,pdgrapher,0.013,118.782,0.238,0.319,-0.072,-1.598,2.805,0.048,0.145,0.243,0.414,0.0018,0.0277,0.3382,1.0,0.703,0.1157,0.18,0.0419,0.1641,0.4731,0.0,0.1759,0.0757,4.19,2274,351.5158
exp4_500_1000,pdgrapher_1118_1125.json,reports/exp4_500_1000/pdgrapher_1118_1125.json,dorothea_500_1000,pdgrapher,0.017,117.896,0.236,0.457,-0.101,-1.492,3.926,0.058,0.168,0.264,0.405,0.004,0.0299,0.3452,1.0,0.7074,0.1183,0.4,0.0628,0.1703,0.4754,0.0,0.1713,0.0865,6.28,2274,353.7067
exp4_500_1000,pdgrapher_1118_1233.json,reports/exp4_500_1000/pdgrapher_1118_1233.json,dorothea_500_1000,pdgrapher,0.018,118.943,0.238,0.361,-0.121,-1.878,3.003,0.056,0.152,0.244,0.397,0.0031,0.0321,0.3237,1.0,0.7041,0.1167,0.31,0.0554,0.1763,0.4679,0.0,0.1705,0.0818,5.54,2274,352.0695
exp5_s1000,pdgrapher_1115_1445.json,reports/exp5_s1000/pdgrapher_1115_1445.json,dorothea_500_1000,pdgrapher,0.005,216.104,0.432,-0.146,-0.219,-1.284,5.781,0.021,0.07,0.129,0.228,0.0021,0.0324,0.2828,1.0,0.5716,0.0965,0.21,0.0455,0.1769,0.4503,0.0,0.285,0.0895,4.55,6274,285.7984
exp5_s1000,pdgrapher_1115_1829.json,reports/exp5_s1000/pdgrapher_1115_1829.json,dorothea_500_1000,pdgrapher,0.006,219.525,0.439,-0.063,-0.111,-0.63,5.988,0.022,0.074,0.13,0.224,0.0041,0.0335,0.2633,1.0,0.5598,0.0958,0.41,0.0642,0.1799,0.4404,0.0,0.2812,0.0983,6.42,6274,279.8811
exp5_s1000,pdgrapher_1116_1718.json,reports/exp5_s1000/pdgrapher_1116_1718.json,dorothea_500_1000,pdgrapher,0.003,158.116,0.316,0.04,-0.09,-0.749,0.578,0.016,0.072,0.141,0.279,0.0026,0.036,0.3503,1.0,0.6827,0.1158,0.26,0.0504,0.1863,0.4771,0.0,0.2117,0.0864,5.04,6274,341.3318
exp5_s1000,pdgrapher_1116_2210.json,reports/exp5_s1000/pdgrapher_1116_2210.json,dorothea_500_1000,pdgrapher,0.005,166.855,0.334,-0.016,-0.098,-0.641,0.425,0.018,0.068,0.139,0.269,0.003,0.036,0.3325,1.0,0.6627,0.1127,0.3,0.0549,0.1863,0.4711,0.0,0.2266,0.0897,5.49,6274,331.3558
exp5_s1000,pdgrapher_1116_2259.json,reports/exp5_s1000/pdgrapher_1116_2259.json,dorothea_500_1000,pdgrapher,0.002,170.348,0.341,0.037,-0.051,-0.698,0.579,0.016,0.066,0.134,0.269,0.0026,0.0336,0.3285,1.0,0.6552,0.1105,0.26,0.0504,0.1803,0.4697,0.0,0.2342,0.0873,5.04,6274,327.6018
exp5_s10000,pdgrapher_1115_1451.json,reports/exp5_s10000/pdgrapher_1115_1451.json,dorothea_500_1000,pdgrapher,0.024,115.833,0.232,0.298,-0.182,-1.911,2.626,0.074,0.18,0.265,0.409,0.0028,0.0293,0.3348,1.0,0.7009,0.1169,0.28,0.053,0.1687,0.4719,0.0,0.1816,0.0827,5.3,1774,350.4684
exp5_s10000,pdgrapher_1115_1942.json,reports/exp5_s10000/pdgrapher_1115_1942.json,dorothea_500_1000,pdgrapher,0.023,118.094,0.236,0.395,-0.285,-2.827,3.743,0.068,0.153,0.238,0.384,0.0039,0.0372,0.3596,1.0,0.7163,0.1215,0.39,0.0627,0.1893,0.4799,0.0,0.1653,0.0889,6.27,1774,358.1601
exp5_s10000,pdgrapher_1116_1626.json,reports/exp5_s10000/pdgrapher_1116_1626.json,dorothea_500_1000,pdgrapher,0.026,117.766,0.236,0.275,-0.474,-3.873,3.261,0.072,0.161,0.251,0.411,0.0039,0.0372,0.3416,1.0,0.7146,0.1216,0.39,0.0627,0.1893,0.4742,0.0,0.167,0.0906,6.27,1774,357.2773
exp5_s10000,pdgrapher_1116_2216.json,reports/exp5_s10000/pdgrapher_1116_2216.json,dorothea_500_1000,pdgrapher,0.025,114.485,0.229,0.437,-0.726,-5.313,3.478,0.073,0.181,0.274,0.426,0.0023,0.031,0.345,1.0,0.7141,0.1189,0.23,0.0474,0.1733,0.4754,0.0,0.1626,0.0789,4.74,1774,357.0536
exp5_s10000,pdgrapher_1116_2312.json,reports/exp5_s10000/pdgrapher_1116_2312.json,dorothea_500_1000,pdgrapher,0.026,118.915,0.238,0.297,-0.014,-0.955,2.893,0.074,0.176,0.26,0.403,0.0028,0.0304,0.323,1.0,0.699,0.1158,0.28,0.053,0.1718,0.4676,0.0,0.1797,0.0804,5.3,1774,349.478
exp5_s2500,pdgrapher_1118_1939.json,reports/exp5_s2500/pdgrapher_1118_1939.json,dorothea_500_1000,pdgrapher,0.004,145.932,0.292,0.114,-0.142,-1.386,0.719,0.022,0.081,0.149,0.289,0.0051,0.0409,0.3573,1.0,0.7056,0.1225,0.51,0.071,0.1981,0.4792,0.0,0.1857,0.0981,7.1,5524,352.7915
exp5_s2500,pdgrapher_1118_1942.json,reports/exp5_s2500/pdgrapher_1118_1942.json,dorothea_500_1000,pdgrapher,0.004,145.932,0.292,0.114,-0.142,-1.386,0.719,0.022,0.081,0.149,0.289,0.0036,0.0367,0.3584,1.0,0.7061,0.1204,0.36,0.0601,0.1881,0.4795,0.0,0.1853,0.0891,6.01,5524,353.0568
exp5_s2500,pdgrapher_1119_1142.json,reports/exp5_s2500/pdgrapher_1119_1142.json,dorothea_500_1000,pdgrapher,0.003,139.276,0.279,0.281,-0.215,-2.002,0.841,0.021,0.083,0.162,0.304,0.0029,0.0362,0.3555,1.0,0.7107,0.1209,0.29,0.0537,0.1868,0.4787,0.0,0.1773,0.0868,5.37,5524,355.3521
exp5_s2500,pdgrapher_1119_1200.json,reports/exp5_s2500/pdgrapher_1119_1200.json,dorothea_500_1000,pdgrapher,0.005,143.98,0.288,0.165,-0.119,-1.238,0.759,0.018,0.071,0.15,0.29,0.0042,0.0369,0.3525,1.0,0.7064,0.1209,0.42,0.0644,0.1886,0.4777,0.0,0.1818,0.0923,6.44,5524,353.223
exp5_s3500,pdgrapher_1119_1141.json,reports/exp5_s3500/pdgrapher_1119_1141.json,dorothea_500_1000,pdgrapher,0.004,139.687,0.279,0.282,-0.225,-2.235,1.156,0.021,0.079,0.152,0.296,0.0048,0.0346,0.3559,1.0,0.7137,0.122,0.48,0.069,0.1829,0.4788,0.0,0.1719,0.0929,6.9,5024,356.8254
exp5_s3500,pdgrapher_1119_1200.json,reports/exp5_s3500/pdgrapher_1119_1200.json,dorothea_500_1000,pdgrapher,0.006,136.409,0.273,0.192,-0.47,-2.698,1.162,0.027,0.085,0.161,0.303,0.003,0.0378,0.3585,1.0,0.7176,0.1218,0.3,0.0546,0.1908,0.4796,0.0,0.1658,0.0864,5.46,5024,358.7916
exp5_s500,pdgrapher_1115_1442.json,reports/exp5_s500/pdgrapher_1115_1442.json,dorothea_500_1000,pdgrapher,0.004,190.577,0.381,-0.326,-0.4,-1.07,0.814,0.017,0.067,0.129,0.248,0.0032,0.0359,0.304,1.0,0.6163,0.1052,0.32,0.0566,0.186,0.46,0.0,0.2633,0.0936,5.66,6524,308.1413
exp5_s500,pdgrapher_1115_1940.json,reports/exp5_s500/pdgrapher_1115_1940.json,dorothea_500_1000,pdgrapher,0.003,205.174,0.41,-0.072,-0.077,-0.146,0.005,0.018,0.065,0.124,0.234,0.0034,0.0331,0.2846,1.0,0.5891,0.1004,0.34,0.058,0.1789,0.4512,0.0,0.2748,0.0944,5.8,6524,294.5474
exp5_s500,pdgrapher_1116_1730.json,reports/exp5_s500/pdgrapher_1116_1730.json,dorothea_500_1000,pdgrapher,0.005,182.997,0.366,-0.367,-0.455,-1.161,0.652,0.017,0.072,0.146,0.275,0.0044,0.0359,0.3277,1.0,0.6309,0.1095,0.44,0.0665,0.186,0.4694,0.0,0.2614,0.099,6.65,6524,315.4703
exp5_s500,pdgrapher_1116_2216.json,reports/exp5_s500/pdgrapher_1116_2216.json,dorothea_500_1000,pdgrapher,0.006,187.478,0.375,-0.179,-0.241,-0.833,0.547,0.021,0.073,0.139,0.259,0.0026,0.0374,0.3148,1.0,0.6164,0.1057,0.26,0.051,0.1897,0.4645,0.0,0.2671,0.0929,5.1,6524,308.2249
exp5_s500,pdgrapher_1116_2304.json,reports/exp5_s500/pdgrapher_1116_2304.json,dorothea_500_1000,pdgrapher,0.004,171.792,0.344,-0.123,-0.239,-0.977,0.84,0.017,0.069,0.137,0.269,0.0034,0.0354,0.3276,1.0,0.653,0.1112,0.34,0.058,0.1848,0.4693,0.0,0.2395,0.0911,5.8,6524,326.4956
exp5_s5000,pdgrapher_1117_1419.json,reports/exp5_s5000/pdgrapher_1117_1419.json,dorothea_500_1000,pdgrapher,0.014,119.086,0.238,0.289,-0.173,-2.009,2.967,0.048,0.145,0.244,0.391,0.0018,0.033,0.361,1.0,0.7187,0.1207,0.18,0.0419,0.1786,0.4803,0.0,0.1688,0.0796,4.19,2274,359.3307
exp5_s5000,pdgrapher_1118_0026.json,reports/exp5_s5000/pdgrapher_1118_0026.json,dorothea_500_1000,pdgrapher,0.018,120.507,0.241,0.315,-0.111,-1.669,3.72,0.059,0.166,0.257,0.395,0.0022,0.0312,0.332,1.0,0.7089,0.1174,0.22,0.0468,0.1739,0.4709,0.0,0.1664,0.0793,4.68,2274,354.4336
exp5_s5000,pdgrapher_1118_0947.json,reports/exp5_s5000/pdgrapher_1118_0947.json,dorothea_500_1000,pdgrapher,0.013,118.782,0.238,0.319,-0.072,-1.598,2.805,0.048,0.145,0.243,0.414,0.0018,0.0277,0.3382,1.0,0.703,0.1157,0.18,0.0419,0.1641,0.4731,0.0,0.1759,0.0757,4.19,2274,351.5158
exp5_s5000,pdgrapher_1118_1125.json,reports/exp5_s5000/pdgrapher_1118_1125.json,dorothea_500_1000,pdgrapher,0.017,117.896,0.236,0.457,-0.101,-1.492,3.926,0.058,0.168,0.264,0.405,0.004,0.0299,0.3452,1.0,0.7074,0.1183,0.4,0.0628,0.1703,0.4754,0.0,0.1713,0.0865,6.28,2274,353.7067
exp5_s5000,pdgrapher_1118_1233.json,reports/exp5_s5000/pdgrapher_1118_1233.json,dorothea_500_1000,pdgrapher,0.018,118.943,0.238,0.361,-0.121,-1.878,3.003,0.056,0.152,0.244,0.397,0.0031,0.0321,0.3237,1.0,0.7041,0.1167,0.31,0.0554,0.1763,0.4679,0.0,0.1705,0.0818,5.54,2274,352.0695
exp_test,pdgrapher_1118_1130.json,reports/exp_test/pdgrapher_1118_1130.json,dorothea_100_200,pdgrapher,0.022,39.728,0.397,-0.076,-0.282,-2.263,1.641,0.078,0.272,0.53,0.91,0.0101,0.1493,1.0,1.0,0.6107,0.1599,1.01,0.1002,0.3564,0.0,0.0,0.2564,0.1501,10.02,690,61.0696
og_pdgrapher_data,pdgrapher_1105_2159.json,reports/og_pdgrapher_data/pdgrapher_1105_2159.json,pdgrapher_grn,pdgrapher,0.015,2573.35,0.24,0.483,0.048,-0.899,5.871,0.033,0.06,0.079,0.099,0.0066,0.0167,0.0583,0.269,0.743,0.0851,0.66,0.081,0.1281,0.2344,0.4434,0.2253,0.0915,8.1,4851,7961.8683
og_pdgrapher_data,pdgrapher_1105_2345.json,reports/og_pdgrapher_data/pdgrapher_1105_2345.json,pdgrapher_grn,pdgrapher,0.009,2452.165,0.229,0.483,-0.166,-2.261,5.371,0.022,0.043,0.055,0.074,0.0052,0.0245,0.0713,0.31,0.7616,0.0903,0.52,0.0716,0.1547,0.2574,0.4625,0.2161,0.0931,7.16,4851,8161.3292
og_pdgrapher_data,pdgrapher_1107_1338.json,reports/og_pdgrapher_data/pdgrapher_1107_1338.json,pdgrapher_grn,pdgrapher,0.016,2476.466,0.231,0.198,-0.29,-3.544,3.888,0.032,0.048,0.061,0.079,0.006,0.0132,0.0478,0.2635,0.7515,0.0836,0.6,0.0771,0.1141,0.2134,0.4405,0.1997,0.086,7.71,4851,8053.1647
og_pdgrapher_data_fr,pdgrapher_1105_2206.json,reports/og_pdgrapher_data_fr/pdgrapher_1105_2206.json,random_10716_300000,pdgrapher,0.015,1908.868,0.178,0.722,-0.161,-2.469,6.127,0.037,0.063,0.079,0.101,0.0041,0.0132,0.0522,0.3119,0.8058,0.0897,0.41,0.0641,0.1141,0.2223,0.4633,0.1683,0.0776,6.41,4851,8634.5918
og_pdgrapher_data_fr,pdgrapher_1105_2342.json,reports/og_pdgrapher_data_fr/pdgrapher_1105_2342.json,random_10716_300000,pdgrapher,0.013,2610.458,0.244,0.308,-0.263,-3.499,4.988,0.028,0.053,0.068,0.089,0.0049,0.0148,0.0557,0.2874,0.7368,0.083,0.49,0.0702,0.1209,0.2293,0.4525,0.2322,0.0837,7.02,4851,7895.7201
og_pdgrapher_data_fr,pdgrapher_1107_1333.json,reports/og_pdgrapher_data_fr/pdgrapher_1107_1333.json,random_10716_300000,pdgrapher,0.011,2651.517,0.247,0.564,0.044,-1.344,6.99,0.027,0.05,0.067,0.088,0.0074,0.0231,0.0592,0.287,0.7407,0.0877,0.74,0.0858,0.1502,0.2359,0.4523,0.2377,0.0999,8.58,4851,7937.0049
pdgrapher_dense,pdgrapher_1119_1327.json,reports/pdgrapher_dense/pdgrapher_1119_1327.json,10716_equal_dense,pdgrapher,0.016,2064.205,0.193,0.747,-0.021,-2.761,5.457,0.038,0.061,0.078,0.099,0.0054,0.0183,0.0579,0.2865,0.7834,0.0894,0.54,0.073,0.1342,0.2336,0.4521,0.1972,0.0879,7.3,4851,8395.109
pdgrapher_dense,pdgrapher_1119_2039.json,reports/pdgrapher_dense/pdgrapher_1119_2039.json,10716_equal_dense,pdgrapher,0.017,2558.77,0.239,0.59,0.028,-1.357,6.724,0.038,0.063,0.078,0.105,0.0047,0.0208,0.067,0.3078,0.7443,0.087,0.47,0.0687,0.1428,0.25,0.4616,0.2401,0.0891,6.87,4851,7975.7431
pdgrapher_extradense,pdgrapher_1119_2227.json,reports/pdgrapher_extradense/pdgrapher_1119_2227.json,10716_equal_extradense,pdgrapher,0.016,1916.617,0.179,0.505,-0.13,-2.838,4.302,0.039,0.059,0.078,0.096,0.006,0.015,0.0495,0.2806,0.7943,0.0891,0.6,0.0771,0.1217,0.2169,0.4493,0.1693,0.0875,7.71,4851,8511.4141
pdgrapher_grn,pdgrapher_1118_1703.json,reports/pdgrapher_grn/pdgrapher_1118_1703.json,pdgrapher_grn,pdgrapher,0.014,1851.539,0.173,0.641,-0.247,-2.379,8.05,0.034,0.066,0.085,0.109,0.006,0.0216,0.0709,0.3152,0.8132,0.0946,0.6,0.0771,0.1455,0.2567,0.4646,0.1524,0.0901,7.71,4851,8713.9462
pdgrapher_grn,pdgrapher_1118_2327.json,reports/pdgrapher_grn/pdgrapher_1118_2327.json,pdgrapher_grn,pdgrapher,0.014,1930.055,0.18,0.876,-0.095,-3.273,6.804,0.04,0.068,0.088,0.11,0.0054,0.0214,0.0695,0.3137,0.8002,0.0933,0.54,0.073,0.1448,0.2543,0.464,0.1848,0.0889,7.3,4851,8574.4568
pdgrapher_grn,pdgrapher_1119_1437.json,reports/pdgrapher_grn/pdgrapher_1119_1437.json,pdgrapher_grn,pdgrapher,0.014,1996.09,0.186,0.444,-0.532,-4.061,6.424,0.033,0.059,0.078,0.099,0.0049,0.0138,0.0509,0.262,0.7811,0.0865,0.49,0.0702,0.1167,0.2198,0.4397,0.1697,0.0815,7.02,4851,8370.0157
pdgrapher_grn,pdgrapher_1119_1722.json,reports/pdgrapher_grn/pdgrapher_1119_1722.json,pdgrapher_grn,pdgrapher,0.014,1996.09,0.186,0.444,-0.532,-4.061,6.424,0.033,0.059,0.078,0.099,0.0037,0.0144,0.0501,0.2719,0.7836,0.0858,0.37,0.0608,0.1193,0.2181,0.4449,0.1662,0.0748,6.08,4851,8397.2257
pdgrapher_hub,pdgrapher_1119_2116.json,reports/pdgrapher_hub/pdgrapher_1119_2116.json,10716_hub,pdgrapher,0.015,2101.77,0.196,0.376,-0.21,-3.154,3.129,0.032,0.055,0.071,0.088,0.0041,0.0198,0.0612,0.3067,0.7909,0.0904,0.41,0.0641,0.1393,0.2397,0.4611,0.1811,0.0833,6.41,4851,8475.1212
