filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
gat_1019_1606,gat,dorothea_100_500,100.0,89.0,1.0,0.345,0.084,13.144,0.259,0.078,0.0,0.434,0.254,0.746,0.979,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 43, 'correct_predictions': 5, 'avg_prediction_prob': 0.058, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 6.739, 'avg_prob_when_true': 0.3, 'in_top20_when_true': 221, 'in_top40_when_true': 231, 'in_top80_when_true': 234, 'accuracy_when_true': 0.021, 'precision': 0.116, 'recall': 0.021, 'f1_score': 0.036}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 116, 'correct_predictions': 6, 'avg_prediction_prob': 0.153, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 7.118, 'avg_prob_when_true': 0.263, 'in_top20_when_true': 204, 'in_top40_when_true': 212, 'in_top80_when_true': 212, 'accuracy_when_true': 0.028, 'precision': 0.052, 'recall': 0.028, 'f1_score': 0.037}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.182, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 17.892, 'avg_prob_when_true': 0.22, 'in_top20_when_true': 135, 'in_top40_when_true': 222, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1020_0025,gat,dorothea_100_500,100.0,89.0,1.0,0.345,0.082,13.108,0.26,0.078,0.0,0.438,0.257,0.746,0.98,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 42, 'correct_predictions': 14, 'avg_prediction_prob': 0.054, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 7.436, 'avg_prob_when_true': 0.307, 'in_top20_when_true': 212, 'in_top40_when_true': 225, 'in_top80_when_true': 234, 'accuracy_when_true': 0.06, 'precision': 0.333, 'recall': 0.06, 'f1_score': 0.101}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 67, 'correct_predictions': 2, 'avg_prediction_prob': 0.152, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 7.382, 'avg_prob_when_true': 0.263, 'in_top20_when_true': 208, 'in_top40_when_true': 212, 'in_top80_when_true': 212, 'accuracy_when_true': 0.009, 'precision': 0.03, 'recall': 0.009, 'f1_score': 0.014}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.18, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 20.059, 'avg_prob_when_true': 0.213, 'in_top20_when_true': 97, 'in_top40_when_true': 222, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1020_0905,gat,dorothea_100_500,100.0,89.0,1.0,0.345,0.081,13.075,0.257,0.077,0.0,0.441,0.259,0.748,0.98,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 41, 'correct_predictions': 5, 'avg_prediction_prob': 0.058, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 6.769, 'avg_prob_when_true': 0.296, 'in_top20_when_true': 222, 'in_top40_when_true': 231, 'in_top80_when_true': 234, 'accuracy_when_true': 0.021, 'precision': 0.122, 'recall': 0.021, 'f1_score': 0.036}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 33, 'correct_predictions': 1, 'avg_prediction_prob': 0.147, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 8.571, 'avg_prob_when_true': 0.255, 'in_top20_when_true': 206, 'in_top40_when_true': 212, 'in_top80_when_true': 212, 'accuracy_when_true': 0.005, 'precision': 0.03, 'recall': 0.005, 'f1_score': 0.008}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 13, 'correct_predictions': 0, 'avg_prediction_prob': 0.177, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 17.207, 'avg_prob_when_true': 0.218, 'in_top20_when_true': 154, 'in_top40_when_true': 222, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
gat_1021_0022,gat,dorothea_100_500,100.0,89.0,1.0,0.345,0.08,13.163,0.256,0.077,0.0,0.434,0.257,0.745,0.979,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 40, 'correct_predictions': 17, 'avg_prediction_prob': 0.053, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 7.252, 'avg_prob_when_true': 0.303, 'in_top20_when_true': 213, 'in_top40_when_true': 225, 'in_top80_when_true': 234, 'accuracy_when_true': 0.073, 'precision': 0.425, 'recall': 0.073, 'f1_score': 0.124}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 65, 'correct_predictions': 3, 'avg_prediction_prob': 0.15, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 7.226, 'avg_prob_when_true': 0.259, 'in_top20_when_true': 209, 'in_top40_when_true': 212, 'in_top80_when_true': 212, 'accuracy_when_true': 0.014, 'precision': 0.046, 'recall': 0.014, 'f1_score': 0.022}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.177, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 20.239, 'avg_prob_when_true': 0.209, 'in_top20_when_true': 96, 'in_top40_when_true': 222, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1023_1251,gat,dorothea_100_500,100.0,89.0,1.0,0.345,0.082,12.973,0.261,0.078,0.0,0.443,0.265,0.752,0.981,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 32, 'correct_predictions': 3, 'avg_prediction_prob': 0.058, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 8.081, 'avg_prob_when_true': 0.299, 'in_top20_when_true': 217, 'in_top40_when_true': 227, 'in_top80_when_true': 234, 'accuracy_when_true': 0.013, 'precision': 0.094, 'recall': 0.013, 'f1_score': 0.023}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 15, 'correct_predictions': 0, 'avg_prediction_prob': 0.15, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 8.094, 'avg_prob_when_true': 0.26, 'in_top20_when_true': 206, 'in_top40_when_true': 212, 'in_top80_when_true': 212, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.178, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 17.122, 'avg_prob_when_true': 0.222, 'in_top20_when_true': 153, 'in_top40_when_true': 222, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
pdgrapher_1019_1439,pdgrapher,dorothea_100_500,100.0,89.0,1.0,0.345,0.0,44.696,0.357,0.217,-8.013,5.366,0.013,0.126,0.455,0.905,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.251, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 38.496, 'avg_prob_when_true': 0.591, 'in_top20_when_true': 25, 'in_top40_when_true': 148, 'in_top80_when_true': 217, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 725, 'correct_predictions': 0, 'avg_prediction_prob': 0.908, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 61.807, 'avg_prob_when_true': -0.149, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 211, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.079, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 70.829, 'avg_prob_when_true': -0.284, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 172, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0104, 'recall@10': 0.1003, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.4997, 'ranking_score_dcg': 0.1235, 'perc_partially_accurate_predictions': 1.04, 'recall@1_std': 0.1014, 'recall@10_std': 0.3003, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2881, 'ranking_score_dcg_std': 0.1411, 'perc_partially_accurate_predictions_std': 10.14, 'total_samples': 20008, 'avg_topk': 49.9727}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1020_0122,pdgrapher,dorothea_100_500,100.0,89.0,1.0,0.345,0.017,35.237,0.284,-0.44,-16.702,9.303,0.09,0.398,0.603,0.893,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.242, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 11.744, 'avg_prob_when_true': 1.648, 'in_top20_when_true': 217, 'in_top40_when_true': 222, 'in_top80_when_true': 231, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 784, 'correct_predictions': 0, 'avg_prediction_prob': 1.863, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 10.689, 'avg_prob_when_true': 1.403, 'in_top20_when_true': 185, 'in_top40_when_true': 212, 'in_top80_when_true': 212, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.137, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 21.662, 'avg_prob_when_true': 0.265, 'in_top20_when_true': 117, 'in_top40_when_true': 208, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0116, 'recall@10': 0.1088, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5095, 'ranking_score_dcg': 0.1285, 'perc_partially_accurate_predictions': 1.16, 'recall@1_std': 0.1071, 'recall@10_std': 0.3113, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2922, 'ranking_score_dcg_std': 0.1466, 'perc_partially_accurate_predictions_std': 10.71, 'total_samples': 20008, 'avg_topk': 50.9455}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1020_1109,pdgrapher,dorothea_100_500,100.0,89.0,1.0,0.345,0.0,23.833,1.152,0.258,-6.877,35.107,0.076,0.516,0.814,0.99,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.004, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 23.291, 'avg_prob_when_true': 0.639, 'in_top20_when_true': 83, 'in_top40_when_true': 228, 'in_top80_when_true': 234, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.61, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 24.939, 'avg_prob_when_true': 0.887, 'in_top20_when_true': 109, 'in_top40_when_true': 174, 'in_top80_when_true': 208, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 2.545, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 7.446, 'avg_prob_when_true': 2.61, 'in_top20_when_true': 214, 'in_top40_when_true': 221, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0, 'recall@10': 0.0906, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5003, 'ranking_score_dcg': 0.1162, 'perc_partially_accurate_predictions': 0.0, 'recall@1_std': 0.0, 'recall@10_std': 0.287, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.289, 'ranking_score_dcg_std': 0.1103, 'perc_partially_accurate_predictions_std': 0.0, 'total_samples': 20008, 'avg_topk': 50.0328}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1021_0310,pdgrapher,dorothea_100_500,100.0,89.0,1.0,0.345,0.004,36.274,0.153,-0.436,-14.591,12.843,0.034,0.341,0.615,0.907,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.911, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 25.526, 'avg_prob_when_true': 0.371, 'in_top20_when_true': 68, 'in_top40_when_true': 218, 'in_top80_when_true': 234, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 232, 'correct_predictions': 0, 'avg_prediction_prob': 2.275, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 7.552, 'avg_prob_when_true': 1.602, 'in_top20_when_true': 212, 'in_top40_when_true': 212, 'in_top80_when_true': 212, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.035, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 53.086, 'avg_prob_when_true': -0.729, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0089, 'recall@10': 0.0964, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5134, 'ranking_score_dcg': 0.1241, 'perc_partially_accurate_predictions': 0.89, 'recall@1_std': 0.0942, 'recall@10_std': 0.2951, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.283, 'ranking_score_dcg_std': 0.1335, 'perc_partially_accurate_predictions_std': 9.42, 'total_samples': 20008, 'avg_topk': 51.3391}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1023_1425,pdgrapher,dorothea_100_500,100.0,89.0,1.0,0.345,0.031,19.805,1.416,-0.876,-11.136,12.065,0.238,0.653,0.83,0.99,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.254, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 11.996, 'avg_prob_when_true': 1.757, 'in_top20_when_true': 205, 'in_top40_when_true': 214, 'in_top80_when_true': 234, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.287, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 51.09, 'avg_prob_when_true': -0.108, 'in_top20_when_true': 0, 'in_top40_when_true': 44, 'in_top80_when_true': 212, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.455, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 18.703, 'avg_prob_when_true': 1.172, 'in_top20_when_true': 130, 'in_top40_when_true': 222, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0099, 'recall@10': 0.098, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5096, 'ranking_score_dcg': 0.1245, 'perc_partially_accurate_predictions': 0.99, 'recall@1_std': 0.099, 'recall@10_std': 0.2973, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2869, 'ranking_score_dcg_std': 0.1374, 'perc_partially_accurate_predictions_std': 9.9, 'total_samples': 20008, 'avg_topk': 50.9592}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1019_1604,pdgraphernognn,dorothea_100_500,100.0,89.0,1.0,0.345,0.094,17.898,0.777,-2.418,-8.721,3.894,0.264,0.668,0.851,0.999,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 13, 'correct_predictions': 1, 'avg_prediction_prob': -3.509, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 5.543, 'avg_prob_when_true': 1.687, 'in_top20_when_true': 234, 'in_top40_when_true': 234, 'in_top80_when_true': 234, 'accuracy_when_true': 0.004, 'precision': 0.077, 'recall': 0.004, 'f1_score': 0.008}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 86, 'correct_predictions': 1, 'avg_prediction_prob': -2.408, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 5.481, 'avg_prob_when_true': 1.669, 'in_top20_when_true': 212, 'in_top40_when_true': 212, 'in_top80_when_true': 212, 'accuracy_when_true': 0.005, 'precision': 0.012, 'recall': 0.005, 'f1_score': 0.007}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.095, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 36.072, 'avg_prob_when_true': -0.326, 'in_top20_when_true': 2, 'in_top40_when_true': 151, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0097, 'recall@10': 0.108, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5188, 'ranking_score_dcg': 0.1288, 'perc_partially_accurate_predictions': 0.97, 'recall@1_std': 0.0982, 'recall@10_std': 0.3103, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2891, 'ranking_score_dcg_std': 0.1404, 'perc_partially_accurate_predictions_std': 9.82, 'total_samples': 20008, 'avg_topk': 51.8835}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1020_0023,pdgraphernognn,dorothea_100_500,100.0,89.0,1.0,0.345,0.03,29.423,-19.707,-41.886,-280.476,2.298,0.285,0.643,0.691,0.875,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 20008, 'times_true_source': 234, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.138, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 14.996, 'avg_prob_when_true': -1.609, 'in_top20_when_true': 186, 'in_top40_when_true': 234, 'in_top80_when_true': 234, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 20008, 'times_true_source': 212, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -146.343, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 80.981, 'avg_prob_when_true': -68.457, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 38, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 20008, 'times_true_source': 222, 'times_predicted_source': 1077, 'correct_predictions': 30, 'avg_prediction_prob': -35.151, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 1.509, 'avg_prob_when_true': 1.56, 'in_top20_when_true': 222, 'in_top40_when_true': 222, 'in_top80_when_true': 222, 'accuracy_when_true': 0.135, 'precision': 0.028, 'recall': 0.135, 'f1_score': 0.046}}","{'recall@1': 0.0105, 'recall@10': 0.1119, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5132, 'ranking_score_dcg': 0.1287, 'perc_partially_accurate_predictions': 1.05, 'recall@1_std': 0.1021, 'recall@10_std': 0.3152, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2895, 'ranking_score_dcg_std': 0.1438, 'perc_partially_accurate_predictions_std': 10.21, 'total_samples': 20008, 'avg_topk': 51.3156}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
