filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_random_1022_2224,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_random_1023_1212,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_random_1023_1340,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_smallestSuperset_1019_1340,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1019_2303,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1020_0829,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1021_0052,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1022_1606,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1022_1716,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1022_1759,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1022_1844,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1022_2224,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1023_1212,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1023_1340,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
