filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1124_2221,advanced_random,dorothea_500_1000,,,,,0.0,139.462,0.279,0.004,0.002,0.0,0.008,0.009,0.066,0.198,0.302,,,
baseline_overlap_1124_2221,overlap,dorothea_500_1000,,,,,0.0,157.821,0.316,0.003,0.002,0.0,0.005,0.009,0.085,0.151,0.236,,,
baseline_random_1124_2221,random,dorothea_500_1000,,,,,0.0,250.896,0.502,0.002,0.002,0.0,0.004,0.0,0.038,0.094,0.217,,,
baseline_smallestSuperset_1124_2221,smallestSuperset,dorothea_500_1000,,,,,0.009,235.462,0.471,0.002,0.002,0.002,0.002,0.009,0.038,0.094,0.16,,,
pdgrapher_1124_2230,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.451,0.028,125.123,0.25,0.604,0.127,-1.28,1.703,0.113,0.264,0.311,0.443,"{'recall@1': 0.0, 'recall@10': 0.0377, 'recall@100': 0.3396, 'recall@1000': 1.0, 'ranking_score': 0.6979, 'ranking_score_dcg': 0.1152, 'perc_partially_accurate_predictions': 0.0, 'recall@1_std': 0.0, 'recall@10_std': 0.1906, 'recall@100_std': 0.4736, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1852, 'ranking_score_dcg_std': 0.066, 'perc_partially_accurate_predictions_std': 0.0, 'total_samples': 106, 'avg_topk': 348.9528}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 106, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.127, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 106, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.645, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 106, 'times_true_source': 1, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.304, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 223.0, 'avg_prob_when_true': 0.138, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 106, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.597, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
pdgraphernognn_1124_2226,pdgraphernognn,dorothea_500_1000,500.0,279.0,1.0,0.451,0.0,128.613,0.257,0.327,-0.381,-2.526,3.3,0.009,0.123,0.226,0.34,"{'recall@1': 0.0, 'recall@10': 0.0, 'recall@100': 0.3868, 'recall@1000': 1.0, 'ranking_score': 0.7165, 'ranking_score_dcg': 0.1128, 'perc_partially_accurate_predictions': 0.0, 'recall@1_std': 0.0, 'recall@10_std': 0.0, 'recall@100_std': 0.487, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1661, 'ranking_score_dcg_std': 0.0485, 'perc_partially_accurate_predictions_std': 0.0, 'total_samples': 106, 'avg_topk': 358.2736}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 106, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.067, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 106, 'times_true_source': 0, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.47, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 106, 'times_true_source': 1, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.282, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 178.0, 'avg_prob_when_true': 0.23, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 106, 'times_true_source': 0, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.438, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
